external_id,glob_id,decision,note
GLOB_GAVOC_00426,GLOB2_938,reject,
GLOB_GAVOC_00426,GLOB2_938_HUM_1,reject,
GLOB_GAVOC_00426,GLOB2_938_HUM_2,match,
GLOB_GAVOC_00433,GLOB2_1548,match,
GLOB_GAVOC_00436,GLOB_RT_128,match,
GLOB_GAVOC_00448,GLOB_NB_48,match,
GLOB_GAVOC_00448,GLOB_111,reject,
GLOB_GAVOC_00452,GLOB2_1605,match,
GLOB_GAVOC_00455,GLOB_NB_138,match,
GLOB_GAVOC_00456,GLOB_507,match,
GLOB_GAVOC_00460,GLOB_507,child,
GLOB_GAVOC_00463,GLOB2_905,reject,
GLOB_GAVOC_00463,GLOB_E_53,reject,
GLOB_GAVOC_00465,GLOB2_1606,child,
GLOB_GAVOC_00473,GLOB_RT_128,match,
GLOB_GAVOC_00474,GLOB_8,reject,
GLOB_GAVOC_00475,GLOB_8,reject,
GLOB_GAVOC_00477,GLOB_79,child,
GLOB_GAVOC_00505,GLOB_512,child,
GLOB_GAVOC_00506,GLOB_512,match,
GLOB_GAVOC_00522,GLOB_120,match,
GLOB_GAVOC_00546,GLOB_581,match,
GLOB_GAVOC_00549,GLOB2_E_87,reject,
GLOB_GAVOC_00549,GLOB2_E_84,reject,
GLOB_GAVOC_00552,GLOB2_1482,match,
GLOB_GAVOC_00558,GLOB_PY_24,match,
GLOB_GAVOC_00560,GLOB_790,match,
GLOB_GAVOC_00561,GLOB_443,child,
GLOB_GAVOC_00562,GLOB_526,match,
GLOB_GAVOC_00572,GLOB2_1127,match,
GLOB_GAVOC_00577,GLOB_526,child,
GLOB_GAVOC_00581,GLOB2_1817,match,
GLOB_GAVOC_00588,GLOB_28,child,
GLOB_GAVOC_00603,GLOB2_1278,reject,
GLOB_GAVOC_00611,GLOB_RT_219,match,
GLOB_GAVOC_00616,GLOB_580,match,
GLOB_GAVOC_00620,NR_87,match,
GLOB_GAVOC_00621,GLOB_908,match,
GLOB_GAVOC_00622,GLOB_908,child,
GLOB_GAVOC_00623,GLOB_10,child,
GLOB_GAVOC_00625,GLOB_10,match,
GLOB_GAVOC_00633,GLOB2_1063,reject,
GLOB_GAVOC_00640,GLOB2_1045,match,
GLOB_GAVOC_00642,GLOB2_1611,match,
GLOB_GAVOC_00649,GLOB2_1722,child,
GLOB_GAVOC_00650,GLOB2_1722,child,
GLOB_GAVOC_00662,GLOB_176,match,
GLOB_GAVOC_00667,GLOB_RT_214,match,
GLOB_GAVOC_00681,GLOB2_1355,match,
GLOB_GAVOC_00684,GLOB_NB_205,match,
GLOB_GAVOC_00685,GLOB2_925,match,
GLOB_GAVOC_00688,GLOB2_1426,match,
GLOB_GAVOC_00771,GLOB_582,match,
GLOB_GAVOC_00773,GLOB_11,reject,
GLOB_GAVOC_00774,GLOB_867,reject,
GLOB_GAVOC_00774,GLOB_867_HUM_1,reject,
GLOB_GAVOC_00774,GLOB_867_HUM_2,reject,
GLOB_GAVOC_00775,GLOB_115,match,
GLOB_GAVOC_00781,GLOB2_1894,child,
GLOB_GAVOC_00781,GLOB2_1894_HUM_1,reject,
GLOB_GAVOC_00787,GLOB_115,reject,
GLOB_GAVOC_00796,GLOB_RT_246,match,
GLOB_GAVOC_00798,GLOB2_1195,match,
GLOB_GAVOC_00815,GLOB2_899,match,
GLOB_GAVOC_00821,GLOB2_899,match,
GLOB_GAVOC_00822,GLOB2_899,child,
GLOB_GAVOC_00829,GLOB_RT_119,match,
GLOB_GAVOC_00836,GLOB_RT_92,match,
GLOB_GAVOC_00839,GLOB2_1429,match,
GLOB_GAVOC_00845,GLOB2_1206,match,
GLOB_GAVOC_00845,GLOB2_1206_GEO_1,reject,
GLOB_GAVOC_00858,GLOB_586,match,
GLOB_GAVOC_00866,GLOB_343,match,
GLOB_GAVOC_00867,GLOB2_1797,match,
GLOB_GAVOC_00870,GLOB2_923,match,
GLOB_GAVOC_00873,GLOB2_923,match,
GLOB_GAVOC_00875,NR_218_HUM_1,match,
GLOB_GAVOC_00875,GLOB2_1206_GEO_1,reject,
GLOB_GAVOC_00875,NR_218,reject,
GLOB_GAVOC_00893,GLOB_724,match,
GLOB_GAVOC_00899,GLOB_12,match,
GLOB_GAVOC_00905,GLOB_729,match,
GLOB_GAVOC_00906,GLOB_NB_182,reject,
GLOB_GAVOC_00906,NR_251,reject,
GLOB_GAVOC_00906,NR_251_HUM_1,match,
GLOB_GAVOC_00907,GLOB_793_HUM_1,match,
GLOB_GAVOC_00907,GLOB_793_HUM_2,reject,
GLOB_GAVOC_00907,GLOB_793_HUM_3,reject,
GLOB_GAVOC_00907,GLOB_793,match,
GLOB_GAVOC_00908,GLOB_793,reject,
GLOB_GAVOC_00908,GLOB_793_HUM_1,match,
GLOB_GAVOC_00908,GLOB_793_HUM_2,reject,
GLOB_GAVOC_00908,GLOB_793_HUM_3,reject,
GLOB_GAVOC_00914,GLOB_793_HUM_2,match,
GLOB_GAVOC_00914,GLOB_793_HUM_3,reject,
GLOB_GAVOC_00914,GLOB_793_HUM_1,reject,
GLOB_GAVOC_00914,GLOB_793,reject,
GLOB_GAVOC_00916,GLOB_793_HUM_1,reject,
GLOB_GAVOC_00916,GLOB_793_HUM_2,reject,
GLOB_GAVOC_00916,GLOB_793_HUM_3,reject,
GLOB_GAVOC_00916,GLOB_793,child,
GLOB_GAVOC_00920,GLOB_127,match,
GLOB_GAVOC_00922,GLOB_13,match,
GLOB_GAVOC_00933,GLOB2_1278,match,
GLOB_GAVOC_00934,GLOB2_936,reject,
GLOB_GAVOC_00937,GLOB_296,child,
GLOB_GAVOC_00939,GLOB2_894,match,
GLOB_GAVOC_00939,GLOB_535,reject,
GLOB_GAVOC_00953,GLOB_14,match,
GLOB_GAVOC_00956,GLOB_14,match,
GLOB_GAVOC_00961,GLOB2_1656,match,
GLOB_GAVOC_00964,GLOB_223,match,
GLOB_GAVOC_00992,GLOB2_1881,match,
GLOB_GAVOC_00996,GLOB2_998,reject,
GLOB_GAVOC_01014,GLOB2_1063,child,
GLOB_GAVOC_01021,GLOB2_1429,match,
GLOB_GAVOC_01022,GLOB_357_HUM_2,reject,
GLOB_GAVOC_01022,GLOB_357_HUM_1,reject,
GLOB_GAVOC_01022,GLOB_357,reject,
GLOB_GAVOC_01045,GLOB2_1201,match,
GLOB_GAVOC_01045,GLOB_77,reject,
GLOB_GAVOC_01047,GLOB_503,child,
GLOB_GAVOC_01054,GLOB_503,match,
GLOB_GAVOC_01058,GLOB_E_46,match,
GLOB_GAVOC_01058,GLOB_908,reject,
GLOB_GAVOC_01060,GLOB_E_46,match,
GLOB_GAVOC_01060,GLOB_908,reject,
GLOB_GAVOC_01066,GLOB_552,child,
GLOB_GAVOC_01068,GLOB_796,match,
