external_id,pref_label,label,longitude,latitude,point_coord,coord_source,coord_source_page,coord_remarks,place_type,pp_uri,pp_type_label,attestation_id
GLOB_GAVOC_83926,Holter H.,Holter H.,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,cape,https://digitaalerfgoed.poolparty.biz/globalise/ea0cf4b3-3d82-4ff6-ad10-12e77f581218,capes,3926
GLOB_GAVOC_83927,Homba-Helle,Homba-Helle,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,region,https://digitaalerfgoed.poolparty.biz/globalise/06278cc4-0ec4-4376-b869-8c21bf507894,regions,3927
GLOB_GAVOC_83940,"Hooijberg, De","Hooijberg, De",-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,island,https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,islands,3940
GLOB_GAVOC_83946,Hoorn,Hoorn,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,island,https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,islands,3946
GLOB_GAVOC_83956,Hoorn-Corael,Hoorn-Corael,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,-,-,-,3956
GLOB_GAVOC_83966,Hottzialitzilendri,Hottzialitzilendri,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,3966
GLOB_GAVOC_83970,"Houlououe, t Land van","Houlououe, t Land van",-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,region,https://digitaalerfgoed.poolparty.biz/globalise/06278cc4-0ec4-4376-b869-8c21bf507894,regions,3970
GLOB_GAVOC_83982,Houthackers Eylandt,Houthackers Eylandt,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,island,https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,islands,3982
GLOB_GAVOC_83983,Houthackers Eylt.,Houthackers Eylt.,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,island,https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,islands,3983
GLOB_GAVOC_83984,Houtre,Houtre,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,3984
GLOB_GAVOC_83989,Hudsau,Hudsau,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,3989
GLOB_GAVOC_84000,Hziandive,Hziandive,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,-,-,-,4000
GLOB_GAVOC_84012,Icondre,Icondre,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,region,https://digitaalerfgoed.poolparty.biz/globalise/06278cc4-0ec4-4376-b869-8c21bf507894,regions,4012
GLOB_GAVOC_84013,Idua,Idua,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4013
GLOB_GAVOC_84021,"Ieso, Piek","Ieso, Piek",-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,mountain,https://digitaalerfgoed.poolparty.biz/globalise/617a0924-1516-4be8-a478-b451bf47f5bf,mountains,4021
GLOB_GAVOC_84031,Ilacacawalle,Ilacacawalle,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4031
GLOB_GAVOC_84035,"Ilhaos, Ils doso","Ilhaos, Ils doso",-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,islands,https://digitaalerfgoed.poolparty.biz/globalise/d8b4d9c6-11b3-430a-ba08-48eb1f3a8f56,islands,4035
GLOB_GAVOC_84041,Ilketta,Ilketta,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4041
GLOB_GAVOC_84042,Illogamo,Illogamo,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4042
GLOB_GAVOC_84047,Imangele,Imangele,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,-,-,-,4047
GLOB_GAVOC_84048,Imbeca,Imbeca,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4048
GLOB_GAVOC_84049,Imbra,Imbra,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,-,-,-,4049
GLOB_GAVOC_84050,Imbrichitty,Imbrichitty,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4050
GLOB_GAVOC_84073,Indulan,Indulan,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4073
GLOB_GAVOC_84083,Ingelpaeu,Ingelpaeu,-,-,POINT EMPTY,https://www.zotero.org/groups/4678659/items/HRI8XQQI,405,-,settlement,https://digitaalerfgoed.poolparty.biz/globalise/79dd26ba-f8df-4c5e-8783-27417a48fa99,settlements,4083
